"Date d'admission","Hors soins intensifs","Aux soins intensifs"
"2021-04-08 00:00:00",9,5
"2021-04-09 00:00:00",22,2
"2021-04-10 00:00:00",18,3
"2021-04-11 00:00:00",6,6
"2021-04-12 00:00:00",14,3
"2021-04-13 00:00:00",17,4
"2021-04-14 00:00:00",12,2
"2021-04-15 00:00:00",16,7
"2021-04-16 00:00:00",13,4
"2021-04-17 00:00:00",10,3
"2021-04-18 00:00:00",9,8
"2021-04-19 00:00:00",6,3
"2021-04-20 00:00:00",20,6
"2021-04-21 00:00:00",10,3
"2021-04-22 00:00:00",13,3
"2021-04-23 00:00:00",10,7
"2021-04-24 00:00:00",8,0
"2021-04-25 00:00:00",8,7
"2021-04-26 00:00:00",11,3
"2021-04-27 00:00:00",10,5
"2021-04-28 00:00:00",10,3
"2021-04-29 00:00:00",14,5
"2021-04-30 00:00:00",9,3
"2021-05-01 00:00:00",6,4
"2021-05-02 00:00:00",10,5
"2021-05-03 00:00:00",12,7
"2021-05-04 00:00:00",14,1
"2021-05-05 00:00:00",11,2
"2021-05-06 00:00:00",9,2
"2021-05-07 00:00:00",12,5
"2021-05-08 00:00:00",16,2
"2021-05-09 00:00:00",11,1
"2021-05-10 00:00:00",6,2
"2021-05-11 00:00:00",9,4
"2021-05-12 00:00:00",9,4
"2021-05-13 00:00:00",11,0
"2021-05-14 00:00:00",6,2
"2021-05-15 00:00:00",6,2
"2021-05-16 00:00:00",7,2
"2021-05-17 00:00:00",5,6
"2021-05-18 00:00:00",9,3
"2021-05-19 00:00:00",7,1
"2021-05-20 00:00:00",9,1
"2021-05-21 00:00:00",8,1
"2021-05-22 00:00:00",7,1
"2021-05-23 00:00:00",10,2
"2021-05-24 00:00:00",11,3
"2021-05-25 00:00:00",8,4
"2021-05-26 00:00:00",5,1
"2021-05-27 00:00:00",5,1
"2021-05-28 00:00:00",2,2
"2021-05-29 00:00:00",5,0
"2021-05-30 00:00:00",2,3
"2021-05-31 00:00:00",6,1
"2021-06-01 00:00:00",4,2
"2021-06-02 00:00:00",7,0
"2021-06-03 00:00:00",3,2
"2021-06-04 00:00:00",2,1
"2021-06-05 00:00:00",4,0
"2021-06-06 00:00:00",4,1
"2021-06-07 00:00:00",4,2
"2021-06-08 00:00:00",3,0
"2021-06-09 00:00:00",1,0
"2021-06-10 00:00:00",3,0
"2021-06-11 00:00:00",1,1
"2021-06-12 00:00:00",2,2
"2021-06-13 00:00:00",1,1
"2021-06-14 00:00:00",2,0
"2021-06-15 00:00:00",2,0
"2021-06-16 00:00:00",3,1
"2021-06-17 00:00:00",0,3
"2021-06-18 00:00:00",5,0
"2021-06-19 00:00:00",2,1
"2021-06-20 00:00:00",2,1
"2021-06-21 00:00:00",2,0
"2021-06-22 00:00:00",1,0
"2021-06-23 00:00:00",2,0
"2021-06-24 00:00:00",1,0
